run_id,stage,vpn,client_type,host,repeat,mtu,delay_ms,loss_pct,cpu_stress,tcp_throughput_mbps,udp_throughput_mbps,udp_loss_pct_actual,udp_jitter_ms,rtt_avg_ms,rtt_mdev_ms,cpu_avg_percent,cpu_max_percent,throughput_per_cpu,reconnect_ms,handshake_ms,folder
mobility_openvpn_ubuntu_20260402T102501276371Z_r1_1a584a28,mobility,openvpn,VM,ubuntu,1,1500,,,False,61.1522468590853,49.9984096091036,51.963498863586175,0.6741464908821017,16.059,4.279,0.6283333333333334,3.6,97.32453081021532,7093.0,5107.0,C:\vpn-thesis\results\mobility_openvpn_ubuntu_20260402T102501276371Z_r1_1a584a28
mobility_openvpn_ubuntu_20260402T103716773009Z_r2_6ab2852b,mobility,openvpn,VM,ubuntu,2,1500,,,False,57.39473690718176,49.999313870234545,54.416231238066764,0.5326706054406843,15.199,1.777,0.20666666666666667,3.0,277.7164689057182,7075.0,5052.0,C:\vpn-thesis\results\mobility_openvpn_ubuntu_20260402T103716773009Z_r2_6ab2852b
mobility_openvpn_ubuntu_20260402T104939868934Z_r3_f49bb40d,mobility,openvpn,VM,ubuntu,3,1500,,,False,35.752992114544305,49.99905900649285,48.28449608452666,0.74031051106978,15.21,1.281,0.795,5.4,44.97231712521296,7093.0,5066.0,C:\vpn-thesis\results\mobility_openvpn_ubuntu_20260402T104939868934Z_r3_f49bb40d
mobility_wireguard_ubuntu_20260330T135327790742Z_r1_7c96ea54,mobility,wireguard,RaspberryPi,ubuntu,1,1500,,,False,77.03214243974404,49.999403001014905,0.0,0.0927698744832324,12.931,0.476,0.029999999999999995,1.4,2567.7380813248014,5133.0,581.0,C:\vpn-thesis\results\mobility_wireguard_ubuntu_20260330T135327790742Z_r1_7c96ea54
mobility_wireguard_ubuntu_20260330T140432813846Z_r2_b34c0b38,mobility,wireguard,RaspberryPi,ubuntu,2,1500,,,False,89.06808010765995,49.9993971677618,0.0010944112067707574,0.14907863349449652,12.917,0.463,0.035,1.3,2544.802288790284,5138.0,594.0,C:\vpn-thesis\results\mobility_wireguard_ubuntu_20260330T140432813846Z_r2_b34c0b38
mobility_wireguard_ubuntu_20260330T141528269178Z_r3_ab1aef13,mobility,wireguard,RaspberryPi,ubuntu,3,1500,,,False,88.656708662477,49.99939966772725,0.0,0.11764780494551283,12.853,0.14,0.03166666666666667,1.3,2799.6855367097996,6375.0,609.0,C:\vpn-thesis\results\mobility_wireguard_ubuntu_20260330T141528269178Z_r3_ab1aef13
mobility_wireguard_ubuntu_20260402T102143874406Z_r1_3149048b,mobility,wireguard,VM,ubuntu,1,1500,,,False,27.832410282226608,20.874827586431035,0.0,0.247289699179624,15.866,1.617,0.245,2.7,113.60167462133309,5232.0,458.0,C:\vpn-thesis\results\mobility_wireguard_ubuntu_20260402T102143874406Z_r1_3149048b
mobility_wireguard_ubuntu_20260402T103359163458Z_r2_bc05ee18,mobility,wireguard,VM,ubuntu,2,1500,,,False,25.015251666489615,20.777713095068634,0.0,0.33596259261718975,16.199,2.151,0.6116666666666667,5.5,40.89686920951981,5236.0,462.0,C:\vpn-thesis\results\mobility_wireguard_ubuntu_20260402T103359163458Z_r2_bc05ee18
mobility_wireguard_ubuntu_20260402T104614261754Z_r3_08183df0,mobility,wireguard,VM,ubuntu,3,1500,,,False,69.78966177440083,49.998903558149465,0.0,0.17886503136962437,15.664,1.725,0.58,5.1,120.32700305931178,13336.0,476.0,C:\vpn-thesis\results\mobility_wireguard_ubuntu_20260402T104614261754Z_r3_08183df0
mtu_ipsec_ubuntu_20260330T111932142897Z_r1_82769b19,mtu,ipsec,VM,ubuntu,1,1400,,,False,12.365179099444854,12.84399736972826,0.005290025656624435,1.3912528343752821,18.636,3.977,2.6666666666666665,17.7,4.63694216229182,,2499.0,C:\vpn-thesis\results\mtu_ipsec_ubuntu_20260330T111932142897Z_r1_82769b19
mtu_ipsec_ubuntu_20260330T113138489703Z_r2_84d0f382,mtu,ipsec,VM,ubuntu,2,1400,,,False,50.83185383736437,31.015592188565726,0.24919490875632572,0.31433102685656833,16.421,2.429,0.62,5.3,81.98686102800706,,2254.0,C:\vpn-thesis\results\mtu_ipsec_ubuntu_20260330T113138489703Z_r2_84d0f382
mtu_ipsec_ubuntu_20260330T114339553979Z_r3_1b710c0b,mtu,ipsec,VM,ubuntu,3,1400,,,False,43.005957128619535,20.310746845172975,0.0008363371776965602,0.12053692132163955,14.866,1.947,0.44,4.7,97.7408116559535,,2315.0,C:\vpn-thesis\results\mtu_ipsec_ubuntu_20260330T114339553979Z_r3_1b710c0b
mtu_openvpn_ubuntu_20260330T104352421149Z_r1_2f8980e3,mtu,openvpn,RaspberryPi,ubuntu,1,1400,,,False,72.71285330887049,49.999320667798884,0.011890808405102855,0.1129942536823623,13.763,2.573,0.030000000000000002,1.0,2423.7617769623494,,5104.0,C:\vpn-thesis\results\mtu_openvpn_ubuntu_20260330T104352421149Z_r1_2f8980e3
mtu_openvpn_ubuntu_20260330T105239229676Z_r2_48a69592,mtu,openvpn,RaspberryPi,ubuntu,2,1400,,,False,67.04046458822117,49.999320667798884,0.0023781616810205713,0.11288846292164167,13.32,1.516,0.05,0.8,1340.8092917644233,,5104.0,C:\vpn-thesis\results\mtu_openvpn_ubuntu_20260330T105239229676Z_r2_48a69592
mtu_openvpn_ubuntu_20260330T110129806355Z_r3_cad7550d,mtu,openvpn,RaspberryPi,ubuntu,3,1400,,,False,63.13264412191924,49.99931650119613,0.03295452615128506,0.11409908427452606,13.135,0.366,0.025,0.7,2525.3057648767694,,5111.0,C:\vpn-thesis\results\mtu_openvpn_ubuntu_20260330T110129806355Z_r3_cad7550d
mtu_openvpn_ubuntu_20260330T111356259532Z_r1_b519a3c1,mtu,openvpn,VM,ubuntu,1,1400,,,False,17.796641119158725,49.99911861401404,89.6523842526533,2.607006208755586,19.135,3.657,3.0233333333333334,13.2,5.88643035914842,,5250.0,C:\vpn-thesis\results\mtu_openvpn_ubuntu_20260330T111356259532Z_r1_b519a3c1
mtu_openvpn_ubuntu_20260330T112606263332Z_r2_8c71e0c3,mtu,openvpn,VM,ubuntu,2,1400,,,False,32.664292069095154,49.998807218289315,57.08417984277008,0.6941556218131724,23.884,19.046,0.8483333333333333,10.5,38.50407709520058,,5085.0,C:\vpn-thesis\results\mtu_openvpn_ubuntu_20260330T112606263332Z_r2_8c71e0c3
mtu_openvpn_ubuntu_20260330T113807351028Z_r3_242b7ba5,mtu,openvpn,VM,ubuntu,3,1400,,,False,40.81192313586557,49.996887173696315,67.5124178654182,0.8217605096276716,17.113,1.605,0.5816666666666667,3.0,70.16376470349381,,5098.0,C:\vpn-thesis\results\mtu_openvpn_ubuntu_20260330T113807351028Z_r3_242b7ba5
mtu_wireguard_ubuntu_20260330T104039204038Z_r1_3eeea411,mtu,wireguard,RaspberryPi,ubuntu,1,1400,,,False,83.69973577376699,49.999403834336874,0.0,0.11028086455776676,12.804,0.168,0.043333333333333335,1.8,1931.5323640100073,,683.0,C:\vpn-thesis\results\mtu_wireguard_ubuntu_20260330T104039204038Z_r1_3eeea411
mtu_wireguard_ubuntu_20260330T104926437701Z_r2_87c85a87,mtu,wireguard,RaspberryPi,ubuntu,2,1400,,,False,83.0638740409517,49.999403001014905,0.0,0.1045941853101717,12.931,0.178,0.13,4.5,638.95287723809,,601.0,C:\vpn-thesis\results\mtu_wireguard_ubuntu_20260330T104926437701Z_r2_87c85a87
mtu_wireguard_ubuntu_20260330T105812769802Z_r3_40c0c1f9,mtu,wireguard,RaspberryPi,ubuntu,3,1400,,,False,82.08137121174697,49.999390501188515,0.0,0.0824047404521532,12.843,0.176,0.03666666666666667,1.3,2238.582851229463,,674.0,C:\vpn-thesis\results\mtu_wireguard_ubuntu_20260330T105812769802Z_r3_40c0c1f9
mtu_wireguard_ubuntu_20260330T111041247671Z_r1_d990bec2,mtu,wireguard,VM,ubuntu,1,1400,,,False,12.559941750529545,10.315807161078355,0.0017681277295471824,1.2613354892745359,18.706,2.211,3.2383333333333337,10.5,3.8785203552844703,,1221.0,C:\vpn-thesis\results\mtu_wireguard_ubuntu_20260330T111041247671Z_r1_d990bec2
mtu_wireguard_ubuntu_20260330T112249706144Z_r2_6f8ca84d,mtu,wireguard,VM,ubuntu,2,1400,,,False,4.141142243052628,3.4919586640575115,0.0,2.907212262086811,28.619,20.426,1.37,11.4,3.022731564271991,,1182.0,C:\vpn-thesis\results\mtu_wireguard_ubuntu_20260330T112249706144Z_r2_6f8ca84d
mtu_wireguard_ubuntu_20260330T113454541346Z_r3_526ec308,mtu,wireguard,VM,ubuntu,3,1400,,,False,13.787467999011614,9.59293713918744,0.0,0.7053919433396947,19.522,4.912,0.43833333333333335,5.2,31.454299617516988,,599.0,C:\vpn-thesis\results\mtu_wireguard_ubuntu_20260330T113454541346Z_r3_526ec308
